lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline,event_name,category,p_moderate,p_strong,p_severe,p_extreme,season
-5.1458511,35.72916,55,10031,10033,10035,5,2009-06-18,2009-06-20,2009-06-22,1.6684,1.9487,0.2919,8.3419,0.4436,0.7241,0.2926,2.2181,21.49,21.77,0.3131,107.45,0.3141,0.3627,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,56,10044,10046,10049,6,2009-07-01,2009-07-03,2009-07-06,1.5559,1.7853,0.2271,9.3354,0.3792,0.6046,0.225,2.2752,22.1983,22.4,0.2426,133.19,0.2755,0.1539,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,57,10102,10109,10116,15,2009-08-28,2009-09-04,2009-09-11,1.9638,2.5178,0.3196,29.4566,0.7818,1.3544,0.3338,11.7266,23.7473,24.32,0.3329,356.21,0.1541,0.1749,Event 2009a,II Strong,93,7,0,0,Winter
-5.1458511,35.72916,58,10144,10147,10152,9,2009-10-09,2009-10-12,2009-10-17,1.9291,2.3073,0.3133,17.3617,0.5565,0.9264,0.3007,5.0081,21.3367,21.8,0.4634,192.03,0.2545,0.1773,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,59,10159,10167,10185,27,2009-10-24,2009-11-01,2009-11-19,1.5196,2.3205,0.3904,41.0297,0.4237,1.2023,0.3615,11.4395,19.4822,20.49,0.6764,526.02,0.126,0.0731,Event 2009b,II Strong,89,7,0,0,Spring
-5.1458511,35.72916,60,10221,10229,10233,13,2009-12-25,2010-01-02,2010-01-06,1.0271,1.1711,0.1114,13.3518,0.1433,0.2808,0.1075,1.8628,17.1954,17.33,0.1367,223.54,0.0432,0.0661,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,61,10240,10246,10272,33,2010-01-13,2010-01-19,2010-02-14,1.0949,1.3081,0.1005,36.1314,0.2713,0.4579,0.0932,8.9545,16.5764,17.01,0.2347,547.02,0.0555,0.0181,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,62,10277,10286,10303,27,2010-02-19,2010-02-28,2010-03-17,1.1765,1.387,0.1389,31.7659,0.393,0.5929,0.136,10.6104,16.4526,16.63,0.127,444.22,0.0624,0.0389,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,63,10312,10313,10317,6,2010-03-26,2010-03-27,2010-03-31,1.0877,1.2926,0.1985,6.5265,0.3332,0.5405,0.2009,1.999,16.64,16.81,0.1666,99.84,0.2426,0.1126,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,64,10340,10347,10353,14,2010-04-23,2010-04-30,2010-05-06,1.3455,1.4783,0.1031,18.8373,0.4358,0.5615,0.0949,6.1015,17.9364,18.21,0.2242,251.11,0.0959,0.0607,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,65,10378,10384,10387,10,2010-05-31,2010-06-06,2010-06-09,1.8047,2.1524,0.2523,18.0473,0.5906,0.9169,0.2301,5.9059,20.61,21.07,0.4337,206.1,0.1746,0.1739,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,66,10418,10422,10427,10,2010-07-10,2010-07-14,2010-07-19,1.7961,2.3584,0.4927,17.9606,0.6462,1.2073,0.4884,6.4624,23.049,23.59,0.4383,230.49,0.3914,0.21560000000000001,Event 2010a,II Strong,90,10,0,0,Winter
-5.1458511,35.72916,67,10442,10442,10446,5,2010-08-03,2010-08-03,2010-08-07,2.3186,2.6103,0.1669,11.593,1.0952,1.392,0.1699,5.4758,24.346,24.6,0.1516,121.73,1.8977,0.1908,Event 2010b,II Strong,80,20,0,0,Winter
-5.1458511,35.72916,68,10451,10464,10484,34,2010-08-12,2010-08-25,2010-09-14,2.3625,3.5889,0.639,80.3245,1.1549,2.3562,0.635,39.2656,24.2641,25.67,0.7194,824.98,0.1586,0.098,Event 2010c,II Strong,62,38,0,0,Winter
-5.1458511,35.72916,69,10540,10543,10545,6,2010-11-09,2010-11-12,2010-11-14,1.4977,1.6576,0.2049,8.986,0.4413,0.6032,0.1951,2.6475,19.2117,19.36,0.2638,115.27,0.1036,0.2415,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,70,10579,10580,10589,11,2010-12-18,2010-12-19,2010-12-28,0.9237,1.0041,0.0379,10.1605,0.055,0.1393,0.0374,0.6052,17.2882,17.46,0.0842,190.17,0.1182,0.0103,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,71,10600,10603,10626,27,2011-01-08,2011-01-11,2011-02-03,0.9908,1.3669,0.14,26.7508,0.1475,0.4895,0.1188,3.9837,16.6215,17.24,0.3067,448.78,0.1231,0.0199,NA,I Moderate,93,0,0,0,Summer
