year,lon_mme,lat_mme,lon_sst,lat_sst,dist,Ecoregion,count_MHW,duration,icum_event,temp,mhw_days,e_days,sum_anom,icum,Monitoring series,Damaged qualitative,EvenStart,Location,Damaged percentage,count_MME
2015,3.22567,42.0494,3.229158401489258,42.06251525878906,1.49,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22698,42.042230000000004,3.229158401489258,42.06251525878906,2.27,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.2262,42.041,3.229158401489258,42.02084732055664,2.26,Northwestern Mediterranean,18,192,387,20.236775956284152,32,44,123.13739999999983,64.56650000000002,NA,NA,NA,NA,NA,NA
2015,3.22631,42.04928,3.229158401489258,42.06251525878906,1.49,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.23925,42.34802,3.229158401489258,42.354183197021484,1.08,Northwestern Mediterranean,12,192,442,20.29103825136612,48,49,157.03600000000017,110.45189999999998,NA,NA,NA,NA,NA,NA
2015,3.22687,42.23585,3.229158401489258,42.229183197021484,0.77,Northwestern Mediterranean,12,124,236,20.403169398907103,31,37,120.51139999999987,58.98080000000001,NA,NA,NA,NA,NA,NA
2015,3.26363,42.2368,3.270824432373047,42.229183197021484,1.03,Northwestern Mediterranean,27,288,553,20.355081967213113,32,36,124.96369999999975,61.4469,NA,NA,NA,NA,NA,NA
2015,3.32405,42.32292,3.3124923706054688,42.31251525878906,1.5,Northwestern Mediterranean,48,672,1481,20.25087431693989,42,48,152.8825999999997,92.5325,NA,NA,NA,NA,NA,NA
2015,3.26023,42.34115,3.270824432373047,42.354183197021484,1.69,Northwestern Mediterranean,27,396,904,20.251420765027323,44,51,161.92730000000003,100.4432,NA,NA,NA,NA,NA,NA
2015,3.31015,42.28973,3.3124923706054688,42.270851135253906,2.11,Northwestern Mediterranean,15,210,419,20.3675956284153,42,43,133.2056000000002,83.7466,NA,NA,NA,NA,NA,NA
2015,3.28598,42.33358,3.270824432373047,42.354183197021484,2.61,Northwestern Mediterranean,27,396,904,20.251420765027323,44,51,161.92730000000003,100.4432,NA,NA,NA,NA,NA,NA
2015,3.2017,42.08293,3.1874923706054688,42.104183197021484,2.64,Northwestern Mediterranean,21,182,359,20.228360655737706,26,38,120.12040000000023,51.3093,NA,NA,NA,NA,NA,NA
2015,3.20868,42.07288,3.229158401489258,42.06251525878906,2.05,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22403,42.04985,3.229158401489258,42.06251525878906,1.47,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22535,42.04948,3.229158401489258,42.06251525878906,1.48,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.21288,42.06168,3.229158401489258,42.06251525878906,1.35,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22223,42.04977,3.229158401489258,42.06251525878906,1.53,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22728,42.04233,3.229158401489258,42.06251525878906,2.25,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.20197,42.08232,3.1874923706054688,42.104183197021484,2.71,Northwestern Mediterranean,21,182,359,20.228360655737706,26,38,120.12040000000023,51.3093,NA,NA,NA,NA,NA,NA
2015,3.21415,42.04813,3.229158401489258,42.06251525878906,2.03,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22157,42.05187,3.229158401489258,42.06251525878906,1.34,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22805,42.04133,3.229158401489258,42.02084732055664,2.28,Northwestern Mediterranean,18,192,387,20.236775956284152,32,44,123.13739999999983,64.56650000000002,NA,NA,NA,NA,NA,NA
2015,3.22653,42.04325,3.229158401489258,42.06251525878906,2.16,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22083,42.04992,3.229158401489258,42.06251525878906,1.56,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.2252,42.04183,3.229158401489258,42.06251525878906,2.33,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22468,42.04613,3.229158401489258,42.06251525878906,1.86,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22658,42.0475,3.229158401489258,42.06251525878906,1.69,Northwestern Mediterranean,150,1400,2840,20.1751912568306,28,42,126.9716,56.8041,NA,NA,NA,NA,NA,NA
2015,3.22613,42.04097,3.229158401489258,42.02084732055664,2.25,Northwestern Mediterranean,18,192,387,20.236775956284152,32,44,123.13739999999983,64.56650000000002,NA,NA,NA,NA,NA,NA
2015,33.6559,34.9188,33.64585876464844,34.89582061767578,2.72,Levantine Sea,5,72,116,25.494972677595626,72,87,189.51299999999964,116.4376,two.per.year.monitoring,No,Spring,Modern shipwreck 1,0,4
2015,33.6559,34.9188,33.64585876464844,34.89582061767578,2.72,Levantine Sea,5,72,116,25.494972677595626,72,87,189.51299999999964,116.4376,two.per.year.monitoring,No,Winter,Modern shipwreck 1,0,8
2015,32.44483,34.72422,32.437522888183594,34.72915267944336,0.87,Levantine Sea,3,40,62,25.636830601092896,42,72,138.89069999999998,65.09819999999999,more.than.two.per.year,No,Summer,Modern shipwreck 3,0,1
2015,33.99785,34.98076,33.97919464111328,34.97915267944336,1.71,Levantine Sea,12,304,453,26.02174863387978,76,83,180.36759999999998,113.36240000000001,more.than.two.per.year,No,Spring,Modern shipwreck 2,0,1
2015,33.99785,34.98076,33.97919464111328,34.97915267944336,1.71,Levantine Sea,12,304,453,26.02174863387978,76,83,180.36759999999998,113.36240000000001,more.than.two.per.year,No,Summer,Modern shipwreck 2,0,1
2015,33.89083,34.95317,33.89585876464844,34.93748474121094,1.81,Levantine Sea,15,243,387,25.926666666666666,81,86,189.84159999999986,128.8565,one.per.year.monitoring,No,Summer,Liopetri,0,1
2015,33.89083,34.95317,33.89585876464844,34.93748474121094,1.81,Levantine Sea,15,243,387,25.926666666666666,81,86,189.84159999999986,128.8565,two.per.year.monitoring,No,Summer,Liopetri,0,2
2015,33.89709,34.95946,33.89585876464844,34.93748474121094,2.45,Levantine Sea,15,243,387,25.926666666666666,81,86,189.84159999999986,128.8565,one.per.year.monitoring,No,Summer,Liopetri-Hatchery,0,1
2015,33.89709,34.95946,33.89585876464844,34.93748474121094,2.45,Levantine Sea,15,243,387,25.926666666666666,81,86,189.84159999999986,128.8565,two.per.year.monitoring,No,Summer,Liopetri-Hatchery,0,2
2015,33.90107,34.96303,33.89585876464844,34.93748474121094,2.88,Levantine Sea,15,243,387,25.926666666666666,81,86,189.84159999999986,128.8565,two.per.year.monitoring,No,Summer,Potamos,0,1
2015,34.07651,34.98584,34.10419464111328,34.97915267944336,2.63,Levantine Sea,15,430,678,26.123005464480876,86,90,179.4492000000003,135.50829999999996,one.per.year.monitoring,No,Summer,Cyclops,0,1
2015,34.07331,34.98509,34.10419464111328,34.97915267944336,2.89,Levantine Sea,15,430,678,26.123005464480876,86,90,179.4492000000003,135.50829999999996,one.per.year.monitoring,No,Summer,Cyclops,0,1
2015,34.07837,34.95845,34.062530517578125,34.93748474121094,2.75,Levantine Sea,8,284,425,26.03513661202186,71,80,180.34350000000012,106.30349999999999,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,34.07893,34.95732,34.062530517578125,34.93748474121094,2.67,Levantine Sea,8,284,425,26.03513661202186,71,80,180.34350000000012,106.30349999999999,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,34.08001,34.957,34.062530517578125,34.93748474121094,2.7,Levantine Sea,8,284,425,26.03513661202186,71,80,180.34350000000012,106.30349999999999,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,33.83196,34.9601,33.812530517578125,34.93748474121094,3.08,Levantine Sea,5,82,131,25.86120218579235,82,84,193.6706000000002,131.38100000000003,NA,NA,NA,NA,NA,NA
2015,33.76951,34.97959,33.77085876464844,34.97915267944336,0.13,Levantine Sea,4,79,125,25.804699453551912,79,84,189.0211999999999,125.39520000000002,NA,NA,NA,NA,NA,NA
2015,33.73542,34.98067,33.72919464111328,34.97915267944336,0.59,Levantine Sea,4,80,126,25.786830601092895,80,89,190.06009999999972,126.15909999999998,NA,NA,NA,NA,NA,NA
2015,33.95677,34.97941,33.97919464111328,34.97915267944336,2.05,Levantine Sea,12,304,453,26.02174863387978,76,83,180.36759999999998,113.36240000000001,NA,NA,NA,NA,NA,NA
2015,34.01553,34.98278,33.97919464111328,34.97915267944336,3.34,Levantine Sea,12,304,453,26.02174863387978,76,83,180.36759999999998,113.36240000000001,NA,NA,NA,NA,NA,NA
2015,34.0536,34.96793,34.062530517578125,34.93748474121094,3.49,Levantine Sea,8,284,425,26.03513661202186,71,80,180.34350000000012,106.30349999999999,NA,NA,NA,NA,NA,NA
2015,34.07536,34.97599,34.10419464111328,34.97915267944336,2.65,Levantine Sea,15,430,678,26.123005464480876,86,90,179.4492000000003,135.50829999999996,NA,NA,NA,NA,NA,NA
2015,34.07703,34.97543,34.10419464111328,34.97915267944336,2.51,Levantine Sea,15,430,678,26.123005464480876,86,90,179.4492000000003,135.50829999999996,NA,NA,NA,NA,NA,NA
2015,34.06009,35.01428,34.062530517578125,35.02082061767578,0.76,Levantine Sea,4,182,294,25.848907103825137,91,92,181.96620000000016,147.21520000000004,NA,NA,NA,NA,NA,NA
2015,34.01628,35.05631,34.02085876464844,35.06248474121094,0.8,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,34.025,35.05159,34.02085876464844,35.06248474121094,1.27,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,33.23043,34.70565,33.22919464111328,34.68748474121094,2.03,Levantine Sea,2,61,100,25.25262295081967,61,82,157.67159999999976,100.15400000000001,NA,NA,NA,NA,NA,NA
2015,32.34583,35.05987,32.35419464111328,35.06248474121094,0.82,Levantine Sea,9,180,300,25.739071038251367,60,75,168.8506000000002,100.0378,NA,NA,NA,NA,NA,NA
2015,32.34348,35.05983,32.35419464111328,35.06248474121094,1.02,Levantine Sea,9,180,300,25.739071038251367,60,75,168.8506000000002,100.0378,NA,NA,NA,NA,NA,NA
2015,34.03196,35.04519,34.02085876464844,35.06248474121094,2.17,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,34.03301,35.04448,34.02085876464844,35.06248474121094,2.29,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,34.02592,35.05028,34.02085876464844,35.06248474121094,1.43,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,34.02733,35.04976,34.02085876464844,35.06248474121094,1.53,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
2015,34.03504,35.04956,34.02085876464844,35.06248474121094,1.93,Levantine Sea,8,696,1189,25.885191256830602,87,96,187.3595000000002,148.6113,NA,NA,NA,NA,NA,NA
